route_id,date,month,BPI
T802,2026-01-08,2026-01,0
T803,2026-01-08,2026-01,0.7407
T805,2026-01-08,2026-01,0.8775
T807,2026-01-08,2026-01,0.9356
T808,2026-01-08,2026-01,0.8994
T809,2026-01-08,2026-01,0.9388
T810,2026-01-08,2026-01,0.737
T811,2026-01-08,2026-01,0.8472
T812,2026-01-08,2026-01,0.8686
T813,2026-01-08,2026-01,0.9694
T814,2026-01-08,2026-01,0.8177
T815,2026-01-08,2026-01,0.8443
T816,2026-01-08,2026-01,0.8357
T817,2026-01-08,2026-01,0.7656
T818,2026-01-08,2026-01,0.7588
T821,2026-01-08,2026-01,0.7901
T852,2026-01-08,2026-01,0.8467
T100,2026-01-09,2026-01,0.9464
T101,2026-01-09,2026-01,0.8253
T102,2026-01-09,2026-01,0
T103,2026-01-09,2026-01,0.9366
T104,2026-01-09,2026-01,0
T105,2026-01-09,2026-01,0.9514
T106,2026-01-09,2026-01,0.9225
T107,2026-01-09,2026-01,0.9584
T108,2026-01-09,2026-01,0.8484
T109,2026-01-09,2026-01,0.834
T110,2026-01-09,2026-01,0.8988
T114,2026-01-09,2026-01,0.8691
T115,2026-01-09,2026-01,0.8399
T117,2026-01-09,2026-01,0.9962
T121,2026-01-09,2026-01,0.9562
T152,2026-01-09,2026-01,0.8094
T154,2026-01-09,2026-01,0.8982
T180,2026-01-09,2026-01,0.951
T305,2026-01-09,2026-01,0.791
T352,2026-01-09,2026-01,0.7513
T400,2026-01-09,2026-01,0.8853
T401,2026-01-09,2026-01,0.7658
T402,2026-01-09,2026-01,0
T407,2026-01-09,2026-01,0.7327
T408,2026-01-09,2026-01,0.886
T409,2026-01-09,2026-01,0.9428
T410,2026-01-09,2026-01,0.6058
T411,2026-01-09,2026-01,0.9353
T412,2026-01-09,2026-01,0.9733
T413,2026-01-09,2026-01,0.9328
T414,2026-01-09,2026-01,0.8543
T415,2026-01-09,2026-01,0.6173
T416,2026-01-09,2026-01,0.7969
T417,2026-01-09,2026-01,0.8158
T418,2026-01-09,2026-01,0.8788
T419,2026-01-09,2026-01,0.7824
T451,2026-01-09,2026-01,0.7769
T453,2026-01-09,2026-01,0.8193
T455,2026-01-09,2026-01,0.9909
T457,2026-01-09,2026-01,0.8854
T458,2026-01-09,2026-01,0.891
T459,2026-01-09,2026-01,0.9323
T460,2026-01-09,2026-01,0.9212
T461,2026-01-09,2026-01,0.9055
T462,2026-01-09,2026-01,0.9551
T463,2026-01-09,2026-01,0.954
T464,2026-01-09,2026-01,0.821
