"date","route_id","n","n_on_time","n_early","n_late","total_schedule_duration","x1","x2","mae_ratio","log_x1","x2_sq","log_I_hat","I_hat","month"
2025-04-02,"T814",200,195,5,0,16.4833333333333,0.975,0.9907,0.0093,-0.0253,0.9814,-0.0524,0.9489,"2025-04"
2025-04-02,"T815",484,420,62,2,35.6833333333333,0.8678,0.9107,0.0893,-0.1418,0.8293,-0.2207,0.802,"2025-04"
2025-04-02,"T816",349,318,31,0,19.9,0.9112,0.9787,0.0213,-0.093,0.9579,-0.1339,0.8747,"2025-04"
2025-04-02,"T817",265,241,24,0,32.4833333333333,0.9094,0.9008,0.0992,-0.0949,0.8114,-0.1732,0.841,"2025-04"
2025-04-02,"T818",479,436,43,0,29.3666666666667,0.9102,0.9727,0.0273,-0.0941,0.9461,-0.1366,0.8723,"2025-04"
2025-04-02,"T819",168,122,35,11,34.1666666666667,0.7262,0.8218,0.1782,-0.3199,0.6754,-0.5049,0.6036,"2025-04"
2025-04-02,"T820",20,10,8,2,20.95,0.5,0,5.3032,-0.6931,0,NA,0,"2025-04"
2025-04-02,"T821",208,174,32,2,40.6,0.8365,0.7071,0.2929,-0.1785,0.5001,-0.5054,0.6033,"2025-04"
2025-04-02,"T852",1104,1004,95,5,41.35,0.9094,0.9627,0.0373,-0.0949,0.9268,-0.141,0.8685,"2025-04"
2025-04-03,"T100",267,261,4,2,19.35,0.9775,0.9902,0.0098,-0.0227,0.9805,-0.0498,0.9514,"2025-04"
2025-04-03,"T101",494,479,15,0,29.6166666666667,0.9696,0.9886,0.0114,-0.0308,0.9772,-0.0591,0.9426,"2025-04"
2025-04-03,"T102",785,747,28,10,58.8,0.9516,0.9384,0.0616,-0.0496,0.8806,-0.0988,0.9059,"2025-04"
2025-04-03,"T103",871,817,53,1,25.6833333333333,0.938,0.9729,0.0271,-0.064,0.9466,-0.1021,0.9029,"2025-04"
2025-04-03,"T104",118,113,4,1,9.11666666666667,0.9576,0.9713,0.0287,-0.0433,0.9434,-0.0784,0.9246,"2025-04"
2025-04-03,"T105",370,355,10,5,59.1,0.9595,0.9644,0.0356,-0.0414,0.9301,-0.0786,0.9244,"2025-04"
2025-04-03,"T106",393,382,8,3,20.3166666666667,0.972,0.9868,0.0132,-0.0284,0.9737,-0.0569,0.9447,"2025-04"
