"route_short_name","route_long_name","route_id","total_schedule_duration","month","n","n_on_time","n_early","n_late","otp","log_x1","mae_ratio","sd_mae_ratio","1 - normalised mae ratio","log_I_hat","I_hat"
"PBD1","Stesen MRT Semantan  ~ Damanlela Open CarPark","S0100",4.56666666666667,"2025-06",6,3,2,1,0.5,-0.6931,0.2275,0.0885812799736192,0.7725,-0.9141,0.4009
"AJ2A","Sri Nilam ~ Taman Cahaya","S1030",22.05,"2025-04",281,253,22,6,0.9004,-0.105,0.0534,0.143610063316309,0.9466,-0.18,0.8353
"AJ2A","Sri Nilam ~ Taman Cahaya","S1030",22.05,"2025-05",145,138,7,0,0.9517,-0.0495,0.0037,0.448924385615217,0.9963,-0.1161,0.8904
"AJ2A","Sri Nilam ~ Taman Cahaya","S1030",22.05,"2025-06",116,109,6,1,0.9397,-0.0622,0.0209,0.0502362353111307,0.9791,-0.1304,0.8777
"AJ2B","Sri Nilam ~ AEON Big Ampang","S1040",28.5666666666667,"2025-04",98,78,18,2,0.7959,-0.2283,0.0484,0.07127715723047,0.9516,-0.3055,0.7368
"AJ2B","Sri Nilam ~ AEON Big Ampang","S1040",30.2166666666667,"2025-05",196,160,30,6,0.8163,-0.2029,0.121,0.145673416180915,0.879,-0.3116,0.7323
"AJ2B","Sri Nilam ~ AEON Big Ampang","S1040",31.1833333333333,"2025-06",406,326,67,13,0.803,-0.2195,0.0897,0.139426298262052,0.9103,-0.3113,0.7325
"AJ03","Stesen LRT Cempaka ~ Bukit Teratai","S1050",60,"2025-04",429,158,269,2,0.3683,-0.9989,0.2409,0.367408170191967,0.7591,-1.2446,0.2881
"AJ03","Stesen LRT Cempaka ~ Bukit Teratai","S1050",60,"2025-05",498,194,301,3,0.3896,-0.9427,0.3038,0.0281027562543411,0.6962,-1.2795,0.2782
"AJ03","Stesen LRT Cempaka ~ Bukit Teratai","S1050",60,"2025-06",430,161,269,0,0.3744,-0.9824,0.2183,0.0884927535251932,0.7817,-1.1997,0.3013
"KJ02","Stesen KTM Bangi ~ Bandar Bukit Mahkota","S1060",58.2166666666667,"2025-04",80,57,17,6,0.7125,-0.339,0.4847,0.614215395986348,0.5153,-1.0465,0.3512
"KJ02","Stesen KTM Bangi ~ Bandar Bukit Mahkota","S1060",59.2833333333333,"2025-05",87,69,13,5,0.7931,-0.2318,0.4849,0.656645842647821,0.5151,-0.937,0.3918
"KJ02","Stesen KTM Bangi ~ Bandar Bukit Mahkota","S1060",59.2833333333333,"2025-06",62,37,11,14,0.5968,-0.5162,2.7938,1.01003898833576,0,NA,0
"KJ03","Stesen MRT BTHO ~ Taman Tun Perak","S1070",55.8333333333333,"2025-04",153,62,85,6,0.4052,-0.9033,0.5783,1.10709931816694,0.4217,-1.896,0.1502
"KJ03","Stesen MRT BTHO ~ Taman Tun Perak","S1070",55.8333333333333,"2025-05",352,149,198,5,0.4233,-0.8597,0.463,0.711509025177538,0.537,-1.5252,0.2176
"KJ03","Stesen MRT BTHO ~ Taman Tun Perak","S1070",55.8333333333333,"2025-06",293,104,181,8,0.3549,-1.0358,0.4011,0.968423288931094,0.5989,-1.5608,0.21
"SJ04","KTM Serdang ~ Hospital Serdang","S1080",105,"2025-04",206,65,132,9,0.3155,-1.1535,0.6703,0.303846609954682,0.3297,-2.4654,0.085
"AJ04","Pandan Perdana ~ Hospital Ampang","S1140",64.9,"2025-04",227,199,22,6,0.8767,-0.1316,0.0621,0.86587456652357,0.9379,-0.2101,0.8105
"AJ04","Pandan Perdana ~ Hospital Ampang","S1140",69.4166666666667,"2025-05",575,523,44,8,0.9096,-0.0948,0.1025,0.222183938540693,0.8975,-0.1896,0.8273
"AJ04","Pandan Perdana ~ Hospital Ampang","S1140",68.25,"2025-06",639,602,24,13,0.9421,-0.0596,0.2132,0.685984581212847,0.7868,-0.247,0.7811
"KJ04","Hentian Kajang ~ Bandar Baru Bangi","S1170",52.2833333333333,"2025-04",65,57,7,1,0.8769,-0.1313,0.2014,4.30673914140245,0.7986,-0.3071,0.7356
"KJ04","Hentian Kajang ~ Bandar Baru Bangi","S1170",37.9,"2025-05",19,16,3,0,0.8421,-0.1719,0.0598,0.164442558697896,0.9402,-0.2507,0.7783
"KJ04","Hentian Kajang ~ Bandar Baru Bangi","S1170",53.3166666666666,"2025-06",81,72,7,2,0.8889,-0.1178,0.0518,0.0658476293097503,0.9482,-0.1926,0.8248
"MPS2A","Lotus Rawang ~ Rawang Perdana","S1190",115.666666666667,"2025-04",161,90,62,9,0.559,-0.5816,17.5732,10.6823697172936,0,NA,0
"MPS2A","Lotus Rawang ~ Rawang Perdana","S1190",115.666666666667,"2025-05",310,177,120,13,0.571,-0.5604,5.5628,5.35419782159076,0,NA,0
"MPS2A","Lotus Rawang ~ Rawang Perdana","S1190",108.45,"2025-06",74,45,27,2,0.6081,-0.4974,0.5062,6.24032857056445,0.4938,-1.2669,0.2817
"MPS3","Batu Arang ~ Stesen MRT Sungai Buloh","S1390",81.2833333333334,"2025-04",185,138,36,11,0.7459,-0.2931,0.4934,0.226137841865994,0.5066,-1.0228,0.3596
"MPS3","Batu Arang ~ Stesen MRT Sungai Buloh","S1390",130.083333333333,"2025-05",219,164,43,12,0.7489,-0.2892,0.5144,0.150397048447828,0.4856,-1.0761,0.3409
"MPS3","Batu Arang ~ Stesen MRT Sungai Buloh","S1390",72.8666666666667,"2025-06",133,101,23,9,0.7594,-0.2752,0.4315,0.113021064213191,0.5685,-0.8488,0.4279
"MPS4","Wangsa Permai ~ Bandar Baru Selayang","S1490",121.633333333333,"2025-04",39,13,24,2,0.3333,-1.0986,0.4587,0.164097923057083,0.5413,-1.7596,0.1721
"MPS4","Wangsa Permai ~ Bandar Baru Selayang","S1490",118.583333333333,"2025-05",110,53,51,6,0.4818,-0.7302,0.445,0.124814109779303,0.555,-1.3478,0.2598
"MPS4","Wangsa Permai ~ Bandar Baru Selayang","S1490",115.133333333333,"2025-06",84,34,43,7,0.4048,-0.9045,0.3552,0.0887230898169505,0.6448,-1.3318,0.264
"SJ01","BRT USJ 7 ~ Stesen LRT Subang Jaya","S2000",43.4666666666667,"2025-04",356,250,86,20,0.7022,-0.3535,0.2917,0.193023743419843,0.7083,-0.6554,0.5192
"SJ02","Stesen LRT Pusat Bandar Puchong ~ Stesen LRT SS18","S2020",69.4166666666667,"2025-04",257,116,126,15,0.4514,-0.7955,0.3415,0.295568483402667,0.6585,-1.1942,0.3029
"SJ03","SMK Bandar Puchong Jaya ~ Stesen LRT Kinrara BK5","S2030",56.3833333333333,"2025-04",536,407,106,23,0.7593,-0.2753,0.722,0.585453220855026,0.278,-1.7601,0.172
"SJ05","Putra Permai~Taman Serdang Jaya","S2040",60.6666666666667,"2025-04",41,34,5,2,0.8293,-0.1872,0.134,3.74853811500382,0.866,-0.3043,0.7376
"BTG2","Hentian Banting ~ Bandar Baru Banting","S2060",32.8,"2025-04",95,86,7,2,0.9053,-0.0995,0.0625,0.101131949640533,0.9375,-0.1774,0.8374
"BTG2","Hentian Banting ~ Bandar Baru Banting","S2060",35.2166666666667,"2025-05",109,97,11,1,0.8899,-0.1166,0.0195,0.00849156801025154,0.9805,-0.186,0.8303
"BTG2","Hentian Banting ~ Bandar Baru Banting","S2060",34.7,"2025-06",67,60,6,1,0.8955,-0.1103,0.0056,0.0723846663767306,0.9944,-0.1788,0.8363
"KLG3A","Taman Sri Andalas ~ Bandar Klang","S3020",16.3166666666667,"2025-04",18,15,0,3,0.8333,-0.1823,19.808,7.17268840790238,0,NA,0
"KLG3A","Taman Sri Andalas ~ Bandar Klang","S3020",27.4833333333333,"2025-05",40,36,2,2,0.9,-0.1054,11.6111,6.55984718299,0,NA,0
"KLG3A","Taman Sri Andalas ~ Bandar Klang","S3020",28.2,"2025-06",101,91,1,9,0.901,-0.1043,16.3414,8.50334859798324,0,NA,0
"KLG3B","Bandar Putera ~ Bandar Klang via Jalan Raja Nong","S3030",31.35,"2025-04",28,26,1,1,0.9286,-0.0741,0.0064,0.500646653077892,0.9936,-0.1419,0.8677
"KLG3B","Bandar Putera ~ Bandar Klang via Jalan Raja Nong","S3030",34.5,"2025-05",53,51,1,1,0.9623,-0.0385,0.0909,0.473668023103852,0.9091,-0.1258,0.8818
"KLG3B","Bandar Putera ~ Bandar Klang via Jalan Raja Nong","S3030",35.75,"2025-06",136,128,0,8,0.9412,-0.0606,0.0823,0.0884925030058213,0.9177,-0.1448,0.8652
"KLG3C","Bandar Putera ~ Bandar Klang via Jalan Kebun","S3040",67.45,"2025-04",59,55,3,1,0.9322,-0.0702,0.1789,220.621485474317,0.8211,-0.2216,0.8012
"KLG3C","Bandar Putera ~ Bandar Klang via Jalan Kebun","S3040",50.0333333333333,"2025-05",50,49,0,1,0.98,-0.0202,0.4147,80.1476475917651,0.5853,-0.5483,0.5779
"KLG3C","Bandar Putera ~ Bandar Klang via Jalan Kebun","S3040",46,"2025-06",41,39,1,1,0.9512,-0.05,0.3591,54.9798231852464,0.6409,-0.4627,0.6296
"SA02","Hentian Bandar Seksyen 14 ~ Stesen KTM Batu 3","S4020",27.6833333333333,"2025-04",137,121,0,16,0.8832,-0.1242,110.1115,46.1575623958363,0,NA,0
"SA02","Hentian Bandar Seksyen 14 ~ Stesen KTM Batu 3","S4020",27.0333333333333,"2025-05",227,201,1,25,0.8855,-0.1216,113.0602,40.540240979003,0,NA,0
"SA02","Hentian Bandar Seksyen 14 ~ Stesen KTM Batu 3","S4020",26.5,"2025-06",232,206,0,26,0.8879,-0.1189,128.9636,46.6536810864846,0,NA,0
"SA03","KTM Sekyen 19 ~ Terminal 17 ~ Seksyen 24 ~ Seksyen 20","S4030",36.3333333333333,"2025-04",356,314,39,3,0.882,-0.1255,0.0384,0.0505102563842236,0.9616,-0.1978,0.8205
"SA03","KTM Sekyen 19 ~ Terminal 17 ~ Seksyen 24 ~ Seksyen 20","S4030",50.95,"2025-05",358,319,39,0,0.8911,-0.1153,0.0391,0.0474415448928277,0.9609,-0.1873,0.8292
"SA03","KTM Sekyen 19 ~ Terminal 17 ~ Seksyen 24 ~ Seksyen 20","S4030",36.3333333333333,"2025-06",427,379,47,1,0.8876,-0.1192,0.0428,0.215784692698396,0.9572,-0.192,0.8253
"SA04","Terminal Seksyen 17 ~ Hospital Shah Alam","S4040",55.1666666666667,"2025-04",108,98,5,5,0.9074,-0.0972,38.9791,19.7263650406711,0,NA,0
"SA04","Terminal Seksyen 17 ~ Hospital Shah Alam","S4040",59.05,"2025-05",232,214,9,9,0.9224,-0.0808,20.4564,12.0663055954475,0,NA,0
"SA04","Terminal Seksyen 17 ~ Hospital Shah Alam","S4040",61.2666666666667,"2025-06",476,430,22,24,0.9034,-0.1016,26.7344,13.2879815101124,0,NA,0
"SA05","Stesen Bas Seksyen 13 ~ Bukit Jelutong","S4050",46.6666666666667,"2025-04",39,37,0,2,0.9487,-0.0526,0.0682,1.83454406408702,0.9318,-0.1308,0.8774
"SA05","Stesen Bas Seksyen 13 ~ Bukit Jelutong","S4050",47.55,"2025-05",70,65,0,5,0.9286,-0.0741,0.1874,0.973622512749851,0.8126,-0.2342,0.7912
"SA05","Stesen Bas Seksyen 13 ~ Bukit Jelutong","S4050",47.55,"2025-06",41,40,0,1,0.9756,-0.0247,0.0638,0.737086874895258,0.9362,-0.1009,0.904
"SA06","Terminal Seksyen 19 ~ Kota Kemuning","S4060",64.7,"2025-04",395,331,48,16,0.838,-0.1768,0.175,0.100728160813907,0.825,-0.3273,0.7209
"SA06","Terminal Seksyen 19 ~ Kota Kemuning","S4060",64.6,"2025-05",510,440,57,13,0.8627,-0.1476,0.1351,0.149172047101203,0.8649,-0.2642,0.7678
"SA06","Terminal Seksyen 19 ~ Kota Kemuning","S4060",65.7333333333333,"2025-06",634,540,82,12,0.8517,-0.1605,0.1165,0.0380036027703876,0.8835,-0.2649,0.7673
"SA08","Stesen LRT Alam Megah ~ Kota Kemuning","S4080",54.9833333333333,"2025-04",600,568,5,27,0.9467,-0.0548,0.1767,0.126731338252376,0.8233,-0.2039,0.8155
"SA08","Stesen LRT Alam Megah ~ Kota Kemuning","S4080",54.1666666666667,"2025-05",515,480,16,19,0.932,-0.0704,0.1076,3.18894660139449,0.8924,-0.1675,0.8458
"SA08","Stesen LRT Alam Megah ~ Kota Kemuning","S4080",54.0666666666667,"2025-06",517,487,16,14,0.942,-0.0598,0.1168,0.0443601909837824,0.8832,-0.1619,0.8505
"SA10","Bukit Subang~Kg Melayu Subang ~Pekan Subang~Bukit Jelutung","S4100",43.0333333333333,"2025-04",323,294,12,17,0.9102,-0.0941,0.6497,0.261072161525907,0.3503,-1.3041,0.2714
"SA10","Bukit Subang~Kg Melayu Subang ~Pekan Subang~Bukit Jelutung","S4100",45.8833333333333,"2025-05",385,352,12,21,0.9143,-0.0896,0.5254,0.140651269586746,0.4746,-0.9022,0.4057
"SA10","Bukit Subang~Kg Melayu Subang ~Pekan Subang~Bukit Jelutung","S4100",45.0166666666667,"2025-06",403,361,16,26,0.8958,-0.1101,0.5391,0.147908226464529,0.4609,-0.9629,0.3818
"MENARA PRASARANA","LRT Lembah Subang ~ Menara Prasarana","S5010",3,"2025-04",2,1,1,0,0.5,-0.6931,0.0556,0.0555500075007496,0.9444,-0.7846,0.4563
"MENARA PRASARANA","LRT Lembah Subang ~ Menara Prasarana","S5010",3,"2025-05",1,1,0,0,1,0,0,NA,1,-0.0657,0.9364
"MENARA PRASARANA","LRT Lembah Subang ~ Menara Prasarana","S5010",3,"2025-06",1,1,0,0,1,0,0,0.0489904951098793,1,-0.0657,0.9364
"PAVILION BUKIT JALIL (PAVBJ)","Stesen LRT Awan Besar ~ Pavilion Bukit Jalil","S6060",12.7166666666667,"2025-04",30,0,30,0,0,-Inf,0.3712,0.027663327968372,0.6288,NA,0
"PAVILION BUKIT JALIL (PAVBJ)","Stesen LRT Awan Besar ~ Pavilion Bukit Jalil","S6060",12.7166666666667,"2025-05",22,0,22,0,0,-Inf,0.3284,0.0210107764557316,0.6716,NA,0
"PAVILION BUKIT JALIL (PAVBJ)","Stesen LRT Awan Besar ~ Pavilion Bukit Jalil","S6060",12.7166666666667,"2025-06",30,0,30,0,0,-Inf,0.3758,0.0234337159690401,0.6242,NA,0
"T120","Kompleks Sungai Mas ~ Taman Mastiara","T1200",28.0166666666667,"2025-04",25,19,6,0,0.76,-0.2744,0.1532,0.201194924300049,0.8468,-0.4084,0.6647
"T200","Stesen LRT Gombak ~ UIA Gombak","T2000",33.05,"2025-04",101,77,20,4,0.7624,-0.2713,0.8878,0.795749913334226,0.1122,-2.4831,0.0835
"T200","Stesen LRT Gombak ~ UIA Gombak","T2000",31.6333333333333,"2025-05",91,78,12,1,0.8571,-0.1542,0.1119,0.6300460046695,0.8881,-0.2556,0.7745
"T200","Stesen LRT Gombak ~ UIA Gombak","T2000",31.4166666666667,"2025-06",127,113,13,1,0.8898,-0.1168,0.1546,0.259787636689028,0.8454,-0.2478,0.7805
"T201","Stesen LRT Gombak ~ Hab Wira Damai","T2010",42.3833333333333,"2025-04",352,329,19,4,0.9347,-0.0676,0.1459,0.149550396028834,0.8541,-0.1903,0.8267
"T201","Stesen LRT Gombak ~ Hab Wira Damai","T2010",35.1333333333333,"2025-05",666,613,47,6,0.9204,-0.0829,0.2576,0.224202191620137,0.7424,-0.3272,0.7209
"T201","Stesen LRT Gombak ~ Hab Wira Damai","T2010",34.8333333333333,"2025-06",625,579,40,6,0.9264,-0.0764,0.2692,0.201636207248424,0.7308,-0.3367,0.7141
