"route_id","total_schedule_duration","month","n","n_on_time","n_early","n_late","otp","log_x1","mae_ratio","sd_mae_ratio","1 - normalised mae ratio","log_I_hat","I_hat"
"T413",23.1,"2025-06",505,493,7,5,0.9762,-0.024,0.0115,0.0255471997527063,0.9885,-0.0518,0.9495
"T414",27.2333333333333,"2025-04",389,369,15,5,0.9486,-0.0528,0.2402,0.159383252291799,0.7598,-0.2754,0.7593
"T414",27.2333333333333,"2025-05",570,537,25,8,0.9421,-0.0596,0.0435,0.115246225892294,0.9565,-0.1025,0.9026
"T414",27.2333333333333,"2025-06",556,518,22,16,0.9317,-0.0708,0.0581,0.129056582178162,0.9419,-0.1217,0.8854
"T415",23.45,"2025-04",255,223,25,7,0.8745,-0.1341,0.1511,0.0439209359088705,0.8489,-0.2619,0.7696
"T415",23.45,"2025-05",276,239,24,13,0.8659,-0.1439,0.1536,0.0394736168671105,0.8464,-0.2755,0.7592
"T415",23.45,"2025-06",269,234,20,15,0.8699,-0.1394,0.1521,0.0366747399405586,0.8479,-0.269,0.7641
"T416",19.4,"2025-04",392,366,23,3,0.9337,-0.0686,0.0819,0.169614613003846,0.9181,-0.132,0.8763
"T416",19.8666666666667,"2025-05",350,328,19,3,0.9371,-0.0649,0.0605,0.099696658876859,0.9395,-0.1161,0.8904
"T416",19.8666666666667,"2025-06",379,357,18,4,0.942,-0.0598,0.0995,0.109148857794733,0.9005,-0.1329,0.8756
"T417",41.8833333333333,"2025-04",787,761,20,6,0.967,-0.0336,0.0239,0.190637532010649,0.9761,-0.0659,0.9362
"T417",42.6333333333333,"2025-05",846,816,24,6,0.9645,-0.0361,0.0338,0.258317401233869,0.9662,-0.0719,0.9306
"T417",42.6333333333333,"2025-06",707,681,18,8,0.9632,-0.0375,0.0242,0.502828326185026,0.9758,-0.0707,0.9317
"T418",28.6333333333333,"2025-04",469,432,35,2,0.9211,-0.0822,0.1021,0.114572798303573,0.8979,-0.1603,0.8519
"T418",28.6333333333333,"2025-05",503,452,49,2,0.8986,-0.1069,0.0244,0.023711192701774,0.9756,-0.1504,0.8604
"T418",28.6333333333333,"2025-06",496,437,56,3,0.881,-0.1266,0.0276,0.0986798497594013,0.9724,-0.1745,0.8399
"T419",31.1166666666667,"2025-04",434,379,43,12,0.8733,-0.1355,0.1842,0.0421246958445993,0.8158,-0.2986,0.7419
"T419",31.1166666666667,"2025-05",418,351,57,10,0.8397,-0.1747,0.1313,0.194309447322258,0.8687,-0.2904,0.748
"T419",31.1166666666667,"2025-06",422,346,64,12,0.8199,-0.1986,0.15,0.270367359681761,0.85,-0.3352,0.7152
"T451",95.0166666666666,"2025-04",871,731,128,12,0.8393,-0.1752,0.082,0.0213094136735648,0.918,-0.255,0.7749
"T451",95.8833333333333,"2025-05",958,802,145,11,0.8372,-0.1777,0.0841,0.014356918154712,0.9159,-0.2593,0.7716
"T451",95.8833333333333,"2025-06",912,763,137,12,0.8366,-0.1784,0.0909,0.0604354650730553,0.9091,-0.2644,0.7677
"T453",36.95,"2025-04",559,476,80,3,0.8515,-0.1607,0.0749,0.033059748100136,0.9251,-0.2339,0.7914
"T453",36.95,"2025-05",730,628,98,4,0.8603,-0.1505,0.0779,0.00561021438935318,0.9221,-0.2239,0.7994
"T453",36.95,"2025-06",701,595,103,3,0.8488,-0.1639,0.0775,0.0112099788461439,0.9225,-0.2396,0.7869
"T454",10.7333333333333,"2025-04",205,199,3,3,0.9707,-0.0297,0.1179,0.0931759640560686,0.8821,-0.112,0.894
"T454",10.7333333333333,"2025-05",183,177,1,5,0.9672,-0.0333,0.109,0.047867246022288,0.891,-0.1094,0.8964
"T454",10.7333333333333,"2025-06",163,158,1,4,0.9693,-0.0312,0.1066,0.0546680016952945,0.8934,-0.1047,0.9006
"T455",24.05,"2025-04",396,371,23,2,0.9369,-0.0652,0.0316,0.0994168510755484,0.9684,-0.1047,0.9006
"T455",24.05,"2025-05",410,385,23,2,0.939,-0.0629,0.0247,0.12131072445638,0.9753,-0.1002,0.9047
"T455",24.05,"2025-06",458,427,23,8,0.9323,-0.0701,0.0388,0.2467225805523,0.9612,-0.1128,0.8933
"T456",14.8,"2025-04",170,161,4,5,0.9471,-0.0544,0.0484,0.0649890567711211,0.9516,-0.0985,0.9062
"T456",14.8,"2025-05",166,157,1,8,0.9458,-0.0557,0.0728,0.0327757381456011,0.9272,-0.1116,0.8944
"T456",14.8,"2025-06",168,158,2,8,0.9405,-0.0614,0.0471,0.12092985376723,0.9529,-0.1059,0.8995
"T457",40.4333333333333,"2025-04",368,338,23,7,0.9185,-0.085,0.0465,0.0165557979102321,0.9535,-0.1331,0.8754
"T457",40.4333333333333,"2025-05",510,468,32,10,0.9176,-0.0859,0.0509,0.0529120382447019,0.9491,-0.1356,0.8732
"T457",40.4333333333333,"2025-06",513,469,39,5,0.9142,-0.0897,0.0435,0.478234007170167,0.9565,-0.1373,0.8717
"T458",41.35,"2025-04",466,424,41,1,0.9099,-0.0945,0.0265,0.0106626033927513,0.9735,-0.137,0.872
"T458",41.7,"2025-05",541,494,46,1,0.9131,-0.0909,0.0215,0.00676881991760182,0.9785,-0.1312,0.877
"T458",41.7,"2025-06",597,551,45,1,0.9229,-0.0802,0.0284,0.00387829467558143,0.9716,-0.1207,0.8863
"T459",36.0166666666667,"2025-04",579,518,55,6,0.8946,-0.1113,0.0472,0.0109473106793911,0.9528,-0.1636,0.8491
"T459",36.0166666666667,"2025-05",459,413,46,0,0.8998,-0.1056,0.0381,0.0195307435868414,0.9619,-0.1535,0.8577
"T459",36.0166666666667,"2025-06",570,514,56,0,0.9018,-0.1034,0.0401,0.00718273189162039,0.9599,-0.152,0.859
"T460",69.5666666666667,"2025-04",1179,989,186,4,0.8388,-0.1757,0.0618,0.00609455585839617,0.9382,-0.2446,0.783
"T460",69.5666666666667,"2025-05",785,661,121,3,0.842,-0.1719,0.0584,0.00612871103096719,0.9416,-0.2386,0.7877
"T460",69.5666666666667,"2025-06",857,714,141,2,0.8331,-0.1826,0.0581,0.0102860377745474,0.9419,-0.251,0.778
"T461",22.7333333333333,"2025-04",515,486,24,5,0.9437,-0.058,0.0536,2.11325279650695,0.9464,-0.1049,0.9004
"T461",22.7333333333333,"2025-05",525,490,33,2,0.9333,-0.069,0.0365,3.36598343548613,0.9635,-0.1106,0.8953
"T461",22.7333333333333,"2025-06",499,472,24,3,0.9459,-0.0556,0.0378,2.9867545262081,0.9622,-0.0956,0.9088
"T462",42.7833333333334,"2025-04",402,374,26,2,0.9303,-0.0722,0.0415,3.18510225154198,0.9585,-0.1162,0.8903
"T462",43.7,"2025-05",798,754,38,6,0.9449,-0.0567,0.0871,4.118438974923,0.9129,-0.1215,0.8856
"T462",43.7,"2025-06",598,559,30,9,0.9348,-0.0674,0.0317,3.71627302562583,0.9683,-0.107,0.8985
"T463",33.8666666666667,"2025-04",433,402,29,2,0.9284,-0.0743,0.0468,3.28962852010341,0.9532,-0.1208,0.8862
"T463",34.3833333333333,"2025-05",635,589,37,9,0.9276,-0.0752,0.0724,2.74571815074884,0.9276,-0.1338,0.8748
"T463",34.3833333333333,"2025-06",566,532,29,5,0.9399,-0.062,0.0884,1.4083141619374,0.9116,-0.1281,0.8798
"T464",94.1166666666667,"2025-04",343,294,42,7,0.8571,-0.1542,0.0978,0.0308865981364806,0.9022,-0.2407,0.7861
"T464",81.75,"2025-05",289,249,34,6,0.8616,-0.149,0.0883,0.0217297904087635,0.9117,-0.2286,0.7956
"T464",84.5833333333333,"2025-06",351,309,36,6,0.8803,-0.1274,0.1229,0.0168016307339983,0.8771,-0.2287,0.7956
"T465",38.05,"2025-04",246,198,41,7,0.8049,-0.2171,0.0959,0.028065271145037,0.9041,-0.3121,0.7319
"T465",38.05,"2025-05",193,158,32,3,0.8187,-0.2001,0.0829,0.0529859016081709,0.9171,-0.2845,0.7524
"T465",38.05,"2025-06",252,204,37,11,0.8095,-0.2113,0.1075,0.0827811586891493,0.8925,-0.3136,0.7308
"T504",43.1333333333333,"2025-04",143,135,8,0,0.9441,-0.0576,0.0075,NA,0.9925,-0.0895,0.9144
"T504",43.1333333333333,"2025-05",29,28,1,0,0.9655,-0.0351,0.0128,0.00431335136523794,0.9872,-0.0651,0.937
"T504",42.4833333333333,"2025-06",139,130,7,2,0.9353,-0.0669,0.0204,0.0145980368053868,0.9796,-0.1036,0.9016
"T505",44.3666666666667,"2025-04",197,184,13,0,0.934,-0.0683,0.029,NA,0.971,-0.1073,0.8983
"T505",44.3666666666667,"2025-05",265,252,12,1,0.9509,-0.0503,0.0115,0.0168052996176235,0.9885,-0.0819,0.9214
"T505",44.3666666666667,"2025-06",451,424,25,2,0.9401,-0.0617,0.0262,0.0070750405532696,0.9738,-0.0987,0.906
"T506",22.3,"2025-05",15,15,0,0,1,0,0,NA,1,-0.0218,0.9784
"T506",31.5833333333333,"2025-06",16,15,1,0,0.9375,-0.0645,0.0042,NA,0.9958,-0.097,0.9076
"T507",42.6666666666667,"2025-04",530,490,37,3,0.9245,-0.0785,0.0284,0.0134403496978315,0.9716,-0.1188,0.888
"T507",42.6666666666667,"2025-05",495,455,35,5,0.9192,-0.0843,0.0268,0.0181442369179123,0.9732,-0.1249,0.8826
"T507",42.6666666666667,"2025-06",266,252,14,0,0.9474,-0.0541,0.012,0.00430300282748377,0.988,-0.0864,0.9172
"T508",33.0833333333333,"2025-04",44,40,4,0,0.9091,-0.0953,0.025,NA,0.975,-0.1377,0.8714
"T508",31.8666666666667,"2025-05",41,38,3,0,0.9268,-0.076,0.0163,NA,0.9837,-0.1129,0.8932
"T508",33.75,"2025-06",156,140,15,1,0.8974,-0.1082,0.0342,NA,0.9658,-0.1551,0.8563
"T509",70.05,"2025-05",826,723,94,9,0.8753,-0.1332,0.0709,0.00861386831062138,0.9291,-0.2001,0.8186
"T509",70.05,"2025-06",439,388,48,3,0.8838,-0.1235,0.0599,0.0167689353562609,0.9401,-0.1837,0.8322
"T510",27.6833333333333,"2025-06",32,29,3,0,0.9062,-0.0984,0.0202,0.0156977705423414,0.9798,-0.14,0.8694
"T511",61.3333333333333,"2025-04",629,557,66,6,0.8855,-0.1216,0.1153,0.0257624727074091,0.8847,-0.216,0.8057
"T511",62.0833333333333,"2025-05",569,502,65,2,0.8822,-0.1253,0.0826,0.0162949344923473,0.9174,-0.1977,0.8206
"T511",62.0833333333333,"2025-06",714,641,70,3,0.8978,-0.1079,0.098,0.0201667928080729,0.902,-0.1875,0.829
"T512",32.85,"2025-04",52,49,3,0,0.9423,-0.0594,0.0117,NA,0.9883,-0.0928,0.9114
"T512",31.7333333333333,"2025-06",25,23,2,0,0.92,-0.0834,0.0152,NA,0.9848,-0.1211,0.8859
"T542",12.05,"2025-04",257,256,0,1,0.9961,-0.0039,0.0156,0.0051748054177052,0.9844,-0.0295,0.9709
"T542",12.05,"2025-05",266,265,1,0,0.9962,-0.0038,6e-04,0.0387477337160752,0.9994,-0.0265,0.9738
"T542",12.05,"2025-06",264,263,0,1,0.9962,-0.0038,8e-04,0.00828364484570799,0.9992,-0.0265,0.9738
"T543",42.95,"2025-04",647,620,21,6,0.9583,-0.0426,0.0128,0.00392123846649386,0.9872,-0.0735,0.9291
"T543",42.95,"2025-05",536,514,17,5,0.959,-0.0419,0.032,0.0315035154152117,0.968,-0.0778,0.9251
"T543",38.7166666666667,"2025-06",516,456,38,22,0.8837,-0.1236,0.8036,0.0553701811362788,0.1964,-2.0353,0.1306
"T544",24.7333333333333,"2025-04",365,343,13,9,0.9397,-0.0622,0.0379,0.00982689054471341,0.9621,-0.1033,0.9019
"T544",24.7333333333333,"2025-05",440,413,20,7,0.9386,-0.0633,0.0665,0.207545453779685,0.9335,-0.117,0.8896
"T544",24.7333333333333,"2025-06",370,345,15,10,0.9324,-0.07,0.03,0.0125269510625681,0.97,-0.1094,0.8964
"T545",44.5166666666667,"2025-04",106,95,8,3,0.8962,-0.1096,0.1467,0.0478004184082106,0.8533,-0.2291,0.7952
"T559",21.4333333333333,"2025-04",227,192,29,6,0.8458,-0.1675,0.0911,0.139774125327655,0.9089,-0.2518,0.7774
"T559",21.4333333333333,"2025-05",253,216,33,4,0.8538,-0.1581,0.0829,0.0165899744649367,0.9171,-0.2356,0.7901
"T559",21.4333333333333,"2025-06",261,222,36,3,0.8506,-0.1618,0.0945,0.122340979970397,0.9055,-0.2474,0.7808
"T560",17.9666666666667,"2025-04",515,479,33,3,0.9301,-0.0725,0.0296,0.0123981853510907,0.9704,-0.1125,0.8936
"T560",17.9666666666667,"2025-05",408,381,24,3,0.9338,-0.0685,0.0388,0.0232330950003805,0.9612,-0.1107,0.8952
"T560",17.9666666666667,"2025-06",571,529,31,11,0.9264,-0.0764,0.037,0.0112989364504931,0.963,-0.1195,0.8874
"T561",27.2,"2025-04",262,256,3,3,0.9771,-0.0232,0.0078,0.00899360884183874,0.9922,-0.05,0.9512
"T561",27.2,"2025-05",499,488,9,2,0.978,-0.0223,0.0158,0.0215842038802189,0.9842,-0.0508,0.9505
"T561",27.2,"2025-06",498,486,7,5,0.9759,-0.0244,0.0104,0.059948315458533,0.9896,-0.0521,0.9492
"T562",18.0666666666667,"2025-04",187,157,28,2,0.8396,-0.1749,0.1417,0.0377054520077815,0.8583,-0.2998,0.741
"T562",18.0666666666667,"2025-05",234,192,38,4,0.8205,-0.1978,0.1338,0.0484007118655388,0.8662,-0.3194,0.7266
"T562",18.0666666666667,"2025-06",212,182,24,6,0.8585,-0.1526,0.1826,0.0266769640206063,0.8174,-0.3165,0.7287
"T563",33.4333333333333,"2025-04",314,246,54,14,0.7834,-0.2441,0.1086,0.0272144314248484,0.8914,-0.3525,0.7029
"T563",33.4333333333333,"2025-05",315,245,59,11,0.7778,-0.2513,0.1302,0.03211344588476,0.8698,-0.378,0.6852
"T563",33.4333333333333,"2025-06",302,234,61,7,0.7748,-0.2551,0.0881,0.0660746826266349,0.9119,-0.3513,0.7038
"T564",18.2333333333333,"2025-04",218,198,19,1,0.9083,-0.0962,0.1283,0.264430506518779,0.8717,-0.197,0.8212
"T564",18.2333333333333,"2025-05",211,195,11,5,0.9242,-0.0789,0.0879,0.152890451516225,0.9121,-0.1475,0.8629
"T564",18.2333333333333,"2025-06",204,188,14,2,0.9216,-0.0817,0.2186,0.221698745337475,0.7814,-0.279,0.7565
