route_id,date,month,BPI,route_short_name,route_long_name
U7538,2026-04-07,2026-04,0.8284,753,Hentian Bandar Shah Alam ~ UiTM Puncak Alam
U7700,2026-04-07,2026-04,0.6391,770,Subang Mewah USJ 1 ~ Hab Pasar Seni
U7718,2026-04-07,2026-04,0.7679,771,Subang Mewah USJ 1 ~ Desa Mentari via Persiaran Tujuan
U7720,2026-04-07,2026-04,0.8271,772,Subang Suria Mah Sing ~ Hab Pasar Seni
U7800,2026-04-07,2026-04,0.9287,780,Kota Damansara ~ Hab Pasar Seni
U7828,2026-04-07,2026-04,0.841,782,Hentian PJ Old Town ~ Hab Pasar Seni
U7830,2026-04-07,2026-04,0.5871,783,Stesen LRT Kelana Jaya ~ Subang Parade
U8210,2026-04-07,2026-04,0.8447,821,Pantai Hill Park ~ Hab Pasar Seni
U8220,2026-04-07,2026-04,0,822,Stesen LRT Bangsar ~ Bangsar Shopping Centre
S6060,2026-04-08,2026-04,0,PAVILION BUKIT JALIL (PAVBJ),Stesen LRT Awan Besar ~ Pavilion Bukit Jalil
T2000,2026-04-08,2026-04,0.8455,T200,Stesen LRT Gombak ~ UIA Gombak
T2010,2026-04-08,2026-04,0.9268,T201,Stesen LRT Gombak ~ Hab Wira Damai
T2020,2026-04-08,2026-04,0.9658,T202,Stesen LRT Taman Melati ~ Taman Melewar
T2220,2026-04-08,2026-04,0.8519,T222,Stesen LRT Sri Rampai ~ UKAY Perdana
T2500,2026-04-08,2026-04,0.7965,T250,Stesen LRT Wangsa Maju ~ Setapak Sentral
T2510,2026-04-08,2026-04,0.8842,T251,Stesen LRT Sri Rampai ~ Seksyen 10 Wangsa Maju
T3008,2026-04-08,2026-04,0.7396,T300,Bukit Indah ~ Ampang Point via Jalan Rasmi
T3018,2026-04-08,2026-04,0.9589,T301,Taman Mulia Jaya ~ Ampang Point via Jalan Merdeka
T3028,2026-04-08,2026-04,0.9356,T302,Hutan Lipur Ampang ~ Ampang Point
T3048,2026-04-08,2026-04,0.617,T304,Bukit Indah ~ Ampang Point via Jalan Ampang
T4068,2026-04-08,2026-04,0.8985,T406,Cheras Batu 10 ~ Pangsun
T5718,2026-04-08,2026-04,0.7562,T571,Stesen KTM Serdang ~ Taman Sri Pulai
T5810,2026-04-08,2026-04,0.9097,T581,Stesen LRT Alam Sutera ~ PPR Pinggiran Bukit Jalil
T6000,2026-04-08,2026-04,0.6219,T600,Stesen LRT IOI Puchong ~ Taman Wawasan
T6010,2026-04-08,2026-04,0.9452,T601,Puchong Utama ~ Puchong Prima
T6030,2026-04-08,2026-04,0.1718,T603,Stesen LRT Puchong Prima ~ Taman Mas Sepang
T6040,2026-04-08,2026-04,0.9072,T604,Stesen LRT Perindustrian Puchong ~ Taman Kinrara
T6050,2026-04-08,2026-04,0.9668,T605,Stesen LRT Bandar Puteri ~ Taman Wawasan
T6400,2026-04-08,2026-04,0.6597,T640,Stesen LRT Taman Jaya ~ Taman Sri Sentosa
T7158,2026-04-08,2026-04,0.7702,T715,UiTM Puncak Alam ~ Bandar Puncak Alam
T7548,2026-04-08,2026-04,0.809,T754,Hentian Bandar Shah Alam ~ Terminal Seksyen 17
T7568,2026-04-08,2026-04,0.9157,T756,Kemuning Business Park ~ Hentian Bandar via Taman Muda
